support_tickets_last90d,label_churned,signup_date,region,is_premium,avg_monthly_spend,days_since_last_login,months_active,customer_id,primary_channel
0,0,2024-04-07,APAC,0,498.6,100,19,65369,Mobile
1,0,2024-07-04,AMER,0,278.49,66,22,86121,Web
1,0,2024-12-11,LATAM,0,283.91,22,6,31947,WhatsApp
1,1,2024-03-11,AMER,0,186.26,103,35,10650,Web
2,0,2024-08-18,AMER,1,60.24,12,46,84722,Mobile
0,1,2024-10-03,APAC,0,224.82,71,1,73923,Retail
2,0,2024-06-01,EMEA,1,112.52,100,41,18143,WhatsApp
2,0,2024-12-24,AMER,1,275.02,14,21,30661,Web
4,0,2024-03-09,AMER,1,487.24,92,26,89113,Web
1,0,2024-10-17,AMER,1,566.21,9,46,41224,Web
1,0,2024-08-27,LATAM,0,325.6,105,36,30391,Retail
0,0,2024-08-10,AMER,1,342.16,63,26,76039,Web
3,1,2024-06-04,EMEA,1,369.19,100,20,64127,WhatsApp
5,0,2024-06-26,EMEA,1,279.64,97,4,53610,Web
1,0,2024-04-13,APAC,0,225.74,43,3,91202,Mobile
4,0,2024-08-23,EMEA,1,483.68,96,45,78120,Web
1,0,2024-02-23,AMER,0,189.78,38,40,68465,Web
4,0,2024-10-01,APAC,1,134.88,79,18,60543,WhatsApp
2,0,2024-10-06,EMEA,1,106.99,52,31,11453,Web
2,0,2024-10-07,APAC,1,502.29,85,6,41744,Mobile
0,0,2024-11-30,LATAM,1,88.24,68,2,58239,WhatsApp
0,0,2024-05-30,AMER,0,25.64,75,29,16345,Web
0,1,2024-02-08,AMER,1,175.15,67,10,81870,Retail
2,0,2024-12-06,AMER,0,196.15,10,9,86190,WhatsApp
2,0,2024-04-12,EMEA,1,135.73,57,14,22285,WhatsApp
2,0,2024-12-20,APAC,0,553.3,52,7,51753,Web
1,0,2024-03-21,EMEA,1,253.13,20,7,56277,WhatsApp
0,0,2024-01-13,AMER,0,263.17,101,43,63313,Retail
3,0,2024-02-21,APAC,0,28.63,102,20,42665,WhatsApp
1,0,2024-11-06,AMER,0,283.85,47,45,87299,Mobile
0,0,2024-09-04,APAC,0,385.01,72,38,67929,Retail
1,0,2024-11-18,APAC,0,126.35,3,21,80374,Mobile
3,0,2024-02-04,EMEA,0,400.4,3,36,17177,Web
0,0,2024-06-28,LATAM,1,521.23,74,11,21803,Mobile
2,0,2024-01-31,AMER,0,18.66,14,19,85035,Web
1,0,2024-07-31,EMEA,1,161.14,38,38,62649,WhatsApp
6,1,2024-03-20,AMER,0,672.3,53,10,78866,WhatsApp
3,0,2024-04-15,AMER,1,226.68,30,38,64298,WhatsApp
2,1,2024-01-16,APAC,1,39.96,113,30,87369,Web
2,0,2024-10-23,APAC,0,197.43,62,38,53912,Mobile
4,0,2024-09-12,AMER,1,729.84,111,8,78135,Web
2,1,2024-10-27,APAC,0,11.43,32,26,22197,Web
3,1,2024-04-12,LATAM,0,74.18,114,34,51428,Web
1,0,2024-03-26,APAC,0,304.49,6,11,73173,Mobile
1,0,2024-10-23,APAC,1,243.45,13,40,76791,Retail
2,0,2024-03-26,APAC,0,155.31,109,13,25006,WhatsApp
4,0,2024-01-29,APAC,1,271.67,89,29,14941,Mobile
2,0,2024-06-14,EMEA,0,267.15,55,5,28224,Web
1,0,2024-07-30,APAC,1,86.1,47,39,13001,Web
1,0,2024-09-04,EMEA,1,600.66,91,26,44590,Mobile
2,0,2024-02-11,AMER,1,150.52,4,43,82851,Web
4,0,2024-12-16,LATAM,0,292.68,29,29,59858,WhatsApp
0,0,2024-01-14,AMER,0,656.57,33,47,16031,Mobile
2,0,2024-12-01,AMER,0,738.76,15,38,87395,Retail
0,0,2024-03-31,APAC,1,267.71,2,19,26892,Web
2,0,2024-04-20,APAC,1,357.37,14,34,67075,Web
4,0,2024-09-18,EMEA,1,241.91,88,12,25196,Web
1,0,2024-12-25,APAC,1,245.77,26,26,31533,WhatsApp
1,0,2024-08-03,LATAM,0,831.86,117,27,21316,Mobile
3,0,2024-11-10,EMEA,0,183.52,32,14,56297,WhatsApp
4,0,2024-06-30,APAC,1,383.13,25,5,96820,Mobile
1,0,2024-07-23,EMEA,0,293.61,87,1,78099,Mobile
1,0,2024-08-06,AMER,1,264.96,41,30,98184,Mobile
1,0,2024-05-05,EMEA,1,354.69,109,4,35479,Web
2,0,2024-11-10,AMER,1,334.77,101,10,40812,Mobile
1,0,2024-07-10,EMEA,0,741.28,71,3,12302,Web
1,0,2024-03-10,APAC,1,279.98,35,40,65774,Web
0,0,2024-02-04,EMEA,0,438.11,82,5,38270,Retail
1,0,2024-01-01,EMEA,1,282.41,98,23,35067,Web
3,0,2024-10-22,AMER,1,353.65,24,24,59388,Mobile
2,0,2024-06-05,APAC,1,313.64,30,33,78692,Mobile
1,0,2024-11-06,LATAM,1,506.91,59,6,30743,Web
2,0,2024-12-01,AMER,0,299.34,62,43,78420,Mobile
2,0,2024-06-29,LATAM,1,79.47,30,17,82659,WhatsApp
0,0,2024-09-27,AMER,0,382.11,51,42,48531,WhatsApp
1,0,2024-11-21,APAC,1,441.61,2,32,93577,Retail
0,0,2024-10-08,AMER,0,163.83,27,29,98512,Mobile
3,1,2024-03-04,EMEA,1,93.69,1,15,98643,Mobile
1,0,2024-11-30,APAC,1,112.0,24,21,57735,WhatsApp
1,0,2024-07-19,APAC,0,291.96,47,21,87514,Mobile
3,0,2024-08-07,EMEA,1,509.87,86,1,51688,Mobile
0,0,2024-05-13,LATAM,1,101.0,20,34,31380,Mobile
0,0,2024-01-18,APAC,1,301.68,54,36,94402,WhatsApp
3,0,2024-06-30,APAC,0,293.8,13,14,38958,WhatsApp
2,0,2024-10-30,EMEA,0,160.57,61,32,44360,WhatsApp
2,0,2024-05-30,AMER,1,55.54,52,26,20598,Web
0,0,2024-04-22,AMER,1,345.86,106,30,39132,Mobile
2,1,2024-06-21,APAC,1,128.38,30,29,11699,Retail
1,0,2024-04-25,APAC,1,471.36,65,44,27102,Mobile
2,0,2024-09-03,APAC,1,220.53,104,34,43302,WhatsApp
0,0,2024-03-24,EMEA,0,169.87,48,26,66421,Retail
0,0,2024-08-25,EMEA,1,352.52,12,1,13163,WhatsApp
2,0,2024-07-24,EMEA,1,203.19,4,35,64402,Web
2,0,2024-10-09,AMER,0,267.2,14,1,83444,Web
1,0,2024-07-23,AMER,1,204.4,85,26,39856,Retail
2,0,2024-04-01,APAC,0,623.6,88,24,71242,Web
0,0,2024-01-27,AMER,0,55.36,70,5,76758,Mobile
1,0,2024-06-27,EMEA,0,90.54,56,24,14716,Mobile
0,0,2024-04-25,EMEA,0,211.16,14,22,31671,Web
4,0,2024-10-12,APAC,1,233.65,106,27,84962,Mobile
1,0,2024-12-23,APAC,1,580.12,4,41,46308,Web
2,0,2024-12-09,EMEA,1,836.83,31,35,50746,Web
1,0,2024-09-07,AMER,0,504.17,91,15,79015,WhatsApp
1,0,2024-12-27,EMEA,1,167.08,59,34,16878,Retail
1,1,2024-12-22,AMER,1,202.98,101,21,80804,Mobile
2,0,2024-09-17,AMER,1,340.03,107,21,75690,Mobile
2,0,2024-03-23,APAC,1,395.85,119,46,33532,Web
1,0,2024-11-18,EMEA,1,163.39,39,23,52257,Mobile
1,0,2024-10-13,APAC,1,69.47,104,46,31072,Mobile
0,0,2024-07-16,APAC,0,534.08,13,30,15596,Mobile
0,0,2024-03-25,APAC,0,59.87,64,24,22348,Web
2,0,2024-07-14,APAC,0,238.49,95,41,93122,Web
1,0,2024-06-06,AMER,0,253.59,89,7,45303,Mobile
1,0,2024-11-04,EMEA,1,247.06,11,31,34128,Mobile
1,0,2024-06-26,APAC,0,435.29,55,47,76520,WhatsApp
1,0,2024-03-28,APAC,1,981.44,115,42,32300,Mobile
0,0,2024-02-04,AMER,0,104.57,25,25,57256,Retail
3,1,2024-11-06,EMEA,0,241.79,89,16,89794,Mobile
0,0,2024-01-09,AMER,0,127.65,86,12,11434,Web
4,1,2024-07-31,APAC,0,702.79,105,39,89420,WhatsApp
1,0,2024-11-24,EMEA,0,93.94,60,15,22753,Mobile
2,0,2024-12-22,APAC,1,126.02,56,34,46261,Web
1,1,2024-06-23,AMER,0,449.17,114,10,71442,Mobile
3,0,2024-08-20,APAC,1,209.07,92,32,50600,Mobile
0,0,2024-11-30,AMER,1,72.05,39,1,73343,Mobile
2,0,2024-11-30,AMER,0,192.09,98,29,70731,Web
1,1,2024-12-06,AMER,0,416.3,62,31,66873,Web
3,0,2024-08-09,APAC,1,353.4,34,44,21656,Web
1,0,2024-07-01,AMER,1,90.15,40,42,61330,WhatsApp
3,0,2024-12-24,APAC,0,272.26,61,17,12193,Mobile
1,0,2024-01-26,APAC,0,203.29,13,16,91247,Web
1,1,2024-04-08,AMER,1,245.85,90,19,54924,Retail
2,0,2024-09-12,EMEA,0,184.47,31,42,31574,Mobile
1,0,2024-11-06,AMER,0,81.68,68,17,76742,Mobile
2,1,2024-04-08,APAC,0,474.05,34,6,35956,Retail
3,1,2024-12-27,APAC,1,404.4,35,18,77240,Mobile
1,1,2024-11-24,AMER,1,92.32,96,37,43212,Web
3,0,2024-07-09,AMER,0,83.02,4,45,35401,WhatsApp
1,0,2024-05-07,EMEA,0,254.19,44,15,95289,Mobile
1,0,2024-10-23,AMER,1,32.57,94,22,56520,Mobile
2,0,2024-11-15,EMEA,1,64.07,20,25,46815,WhatsApp
2,0,2024-01-19,EMEA,0,240.38,86,34,84617,WhatsApp
2,0,2024-05-08,AMER,0,163.01,71,42,40929,Mobile
1,0,2024-11-16,APAC,0,387.49,14,23,85421,WhatsApp
1,1,2024-10-01,AMER,1,75.34,101,25,81424,Web
1,0,2024-07-14,EMEA,0,9.85,3,30,39814,WhatsApp
2,0,2024-11-21,AMER,0,341.59,104,40,13233,Mobile
1,0,2024-06-23,APAC,1,346.11,66,10,71309,Mobile
0,0,2024-02-13,AMER,0,117.05,59,13,13897,WhatsApp
3,0,2024-03-02,AMER,0,93.81,17,24,29870,Mobile
1,0,2024-11-26,AMER,0,230.04,77,10,32018,Web
3,0,2024-12-27,APAC,0,281.27,31,7,91526,Mobile
1,0,2024-10-18,AMER,0,318.79,60,46,22740,Mobile
2,0,2024-01-14,EMEA,1,158.74,74,21,91649,Web
3,0,2024-11-19,APAC,0,358.45,21,29,58995,Mobile
2,0,2024-03-25,EMEA,0,106.27,58,26,76289,Mobile
0,0,2024-12-25,APAC,1,480.49,39,14,79573,Web
2,0,2024-09-04,APAC,0,295.41,52,16,34096,WhatsApp
1,1,2024-07-04,LATAM,0,455.46,58,2,59371,Mobile
3,0,2024-09-24,LATAM,0,356.54,38,17,74273,WhatsApp
4,0,2024-01-08,AMER,0,162.98,84,18,73475,Web
2,0,2024-01-07,APAC,0,287.93,41,17,76175,Mobile
1,1,2024-02-29,EMEA,1,106.19,102,7,61894,Mobile
2,0,2024-03-28,APAC,1,234.68,37,12,39167,Mobile
0,0,2024-05-10,EMEA,1,361.99,111,16,27067,WhatsApp
3,1,2024-02-26,EMEA,1,381.44,91,44,60263,Mobile
2,0,2024-10-30,APAC,0,349.87,80,16,15838,WhatsApp
1,0,2024-12-05,APAC,1,96.97,22,18,13305,Retail
1,0,2024-05-09,APAC,0,125.62,113,19,57065,Mobile
3,0,2024-10-21,APAC,1,370.82,61,17,41178,Web
0,0,2024-11-13,APAC,0,120.08,66,6,44340,Web
2,0,2024-12-29,AMER,1,221.66,4,30,42531,Web
2,0,2024-03-30,AMER,1,67.14,34,30,64059,Mobile
6,1,2024-09-26,LATAM,0,67.86,44,28,65852,Web
2,0,2024-12-02,APAC,1,133.83,86,28,18966,Retail
1,0,2024-03-06,APAC,0,78.42,65,11,94882,WhatsApp
2,0,2024-01-04,APAC,1,262.83,43,35,94860,Web
4,0,2024-07-12,AMER,1,116.03,53,23,62771,Retail
1,0,2024-06-14,APAC,1,230.97,109,14,20722,WhatsApp
5,0,2024-08-07,APAC,0,245.2,67,45,87472,Retail
1,1,2024-02-23,APAC,1,51.4,115,37,73441,Web
1,0,2024-06-11,EMEA,1,267.42,65,23,31879,Web
1,1,2024-05-11,APAC,1,295.96,79,32,71632,WhatsApp
1,0,2024-12-22,EMEA,0,110.94,66,14,49723,Mobile
4,0,2024-10-15,AMER,1,434.89,66,20,17290,Web
1,0,2024-08-18,EMEA,1,461.39,65,43,66155,Mobile
5,1,2024-06-19,EMEA,0,209.41,9,27,18274,Mobile
4,0,2024-10-13,AMER,0,72.67,18,3,45586,Retail
1,0,2024-07-09,APAC,0,142.68,40,38,91881,Web
0,0,2024-07-31,AMER,1,39.1,37,25,48346,Mobile
1,0,2024-05-13,EMEA,1,292.96,7,39,57614,WhatsApp
3,0,2024-06-14,AMER,1,132.72,92,19,29606,Mobile
1,0,2024-07-27,APAC,0,54.62,32,41,13140,Web
0,0,2024-11-29,APAC,0,611.81,51,25,62097,Web
1,0,2024-01-26,AMER,1,172.23,96,33,26382,Mobile
2,0,2024-01-04,APAC,0,106.57,49,27,61658,Web
1,0,2024-02-17,APAC,1,102.65,68,24,69602,Web
2,0,2024-08-29,AMER,0,204.17,53,36,66961,Mobile
2,0,2024-09-26,AMER,0,34.03,16,44,23219,WhatsApp
4,0,2024-05-16,EMEA,0,309.8,103,11,30975,WhatsApp
3,0,2024-11-25,APAC,0,150.88,17,22,39130,Mobile
1,0,2024-12-10,EMEA,1,385.05,99,12,15733,WhatsApp
2,0,2024-09-28,EMEA,1,358.25,54,32,20064,Web
1,0,2024-06-15,LATAM,0,198.66,32,31,57749,Web
2,0,2024-01-31,EMEA,1,240.54,18,27,67959,Mobile
1,0,2024-10-19,EMEA,0,259.02,12,41,12168,Web
0,0,2024-08-12,AMER,0,122.63,25,19,19041,Web
3,0,2024-03-15,AMER,0,83.27,33,10,53305,Retail
2,0,2024-09-10,EMEA,1,128.13,56,44,32716,Web
2,0,2024-10-21,EMEA,0,409.19,15,22,47914,Web
1,0,2024-03-09,AMER,0,1034.61,98,30,88590,Web
3,0,2024-11-12,AMER,0,291.74,6,44,93666,Mobile
2,0,2024-11-10,APAC,1,260.16,2,47,88797,Web
0,0,2024-10-01,LATAM,1,333.43,102,45,13970,Retail
1,0,2024-08-29,APAC,1,322.9,10,46,74190,Retail
3,0,2024-02-16,APAC,1,138.53,78,36,97636,Mobile
0,0,2024-07-05,APAC,1,302.23,31,24,42515,Web
2,0,2024-09-24,APAC,1,35.66,48,25,60570,WhatsApp
1,0,2024-01-07,AMER,1,355.42,16,15,66730,Web
1,0,2024-12-25,EMEA,1,44.57,24,38,74883,Web
1,0,2024-08-09,APAC,1,615.95,22,9,66035,WhatsApp
2,0,2024-02-14,APAC,1,142.33,83,31,88117,Retail
1,0,2024-03-21,APAC,0,863.68,105,18,53454,Mobile
5,0,2024-08-24,AMER,0,158.18,99,8,52327,Retail
2,0,2024-04-24,AMER,1,334.45,119,39,74613,Mobile
3,0,2024-03-13,APAC,0,777.71,0,9,74877,Mobile
2,0,2024-11-09,EMEA,1,86.08,95,36,82307,WhatsApp
3,0,2024-07-15,APAC,0,84.47,44,31,89365,WhatsApp
1,0,2024-11-17,AMER,1,367.96,58,45,92666,Mobile
2,0,2024-06-04,AMER,0,198.15,14,8,78261,Web
1,0,2024-09-19,APAC,0,343.53,23,2,39920,Web
2,0,2024-05-23,APAC,0,354.78,74,17,29801,Web
1,0,2024-02-04,AMER,0,438.78,27,33,45804,Mobile
1,1,2024-03-01,APAC,0,100.37,97,8,55944,WhatsApp
2,0,2024-09-08,LATAM,0,537.41,8,31,41522,Web
1,1,2024-04-19,AMER,1,146.35,107,8,27278,Web
0,0,2024-09-16,AMER,0,57.11,29,40,59077,Web
0,0,2024-02-01,EMEA,1,237.67,38,17,19974,Retail
2,0,2024-11-12,APAC,1,176.51,105,3,85853,Web
2,0,2024-09-15,LATAM,0,102.51,20,28,37026,Mobile
1,0,2024-05-14,AMER,0,14.05,49,28,92690,Web
1,1,2024-05-15,APAC,0,211.72,106,40,74797,Web
1,1,2024-11-09,AMER,1,196.18,29,44,43474,Mobile
1,0,2024-12-04,APAC,1,130.87,11,37,18606,WhatsApp
1,0,2024-06-12,LATAM,0,155.32,109,45,13466,WhatsApp
1,0,2024-01-05,EMEA,1,53.76,62,20,98750,Retail
1,0,2024-11-06,APAC,0,378.48,72,5,76385,Web
3,0,2024-05-18,AMER,1,170.32,18,11,95325,Web
1,0,2024-10-23,LATAM,0,137.01,90,18,83698,Web
1,0,2024-02-05,LATAM,1,442.2,33,19,57608,Mobile
2,0,2024-10-28,APAC,1,350.13,38,22,16115,Web
2,0,2024-11-22,LATAM,0,23.28,52,40,84848,Web
2,1,2024-04-22,EMEA,0,61.5,3,38,19107,Retail
1,0,2024-07-02,APAC,0,267.54,79,44,51113,WhatsApp
1,0,2024-10-24,AMER,0,187.21,69,12,50107,Retail
2,0,2024-05-26,APAC,1,237.03,71,44,75254,Mobile
2,0,2024-04-06,AMER,1,501.5,47,46,65890,Mobile
1,0,2024-06-04,APAC,1,667.73,18,12,43670,Mobile
1,0,2024-08-29,AMER,1,263.53,15,5,46148,Web
3,0,2024-09-23,EMEA,0,342.08,0,37,34563,Web
3,0,2024-01-14,LATAM,0,222.82,36,24,46740,WhatsApp
3,0,2024-02-27,AMER,0,575.76,63,29,21723,Mobile
1,0,2024-06-10,APAC,1,152.51,35,7,11952,WhatsApp
3,0,2024-09-02,EMEA,0,396.51,80,17,27086,WhatsApp
1,1,2024-05-25,APAC,0,196.59,101,24,90048,WhatsApp
1,0,2024-09-09,AMER,1,190.47,26,7,38156,Web
2,0,2024-07-03,EMEA,0,561.85,1,28,97886,WhatsApp
2,0,2024-05-08,EMEA,1,273.69,57,24,45527,Web
1,0,2024-06-26,LATAM,1,139.28,23,36,99753,Web
1,0,2024-11-10,AMER,1,193.18,37,43,54972,Mobile
0,0,2024-09-10,APAC,0,330.18,23,40,60507,Mobile
2,0,2024-03-17,AMER,1,469.82,67,7,41058,Web
2,0,2024-01-22,AMER,0,175.3,84,33,13994,WhatsApp
2,0,2024-11-20,AMER,1,331.25,99,46,56735,Web
3,1,2024-12-27,APAC,0,109.65,18,1,98343,WhatsApp
2,0,2024-11-09,APAC,0,130.04,79,8,64534,Retail
3,0,2024-11-22,AMER,0,135.22,73,8,68697,Mobile
2,0,2024-09-26,EMEA,0,42.54,66,32,80432,Web
3,1,2024-08-23,EMEA,0,297.17,113,43,16668,Retail
1,0,2024-06-30,AMER,0,366.5,92,17,28413,Web
2,0,2024-01-08,EMEA,1,690.95,49,23,85331,WhatsApp
1,0,2024-12-28,LATAM,0,187.8,31,4,32853,Web
0,0,2024-07-02,EMEA,0,129.67,61,2,46124,WhatsApp
2,0,2024-03-22,APAC,1,282.49,44,28,36881,Retail
0,0,2024-09-15,APAC,0,323.8,90,45,93234,Mobile
2,0,2024-11-11,AMER,0,389.84,45,43,96161,WhatsApp
4,0,2024-06-04,APAC,1,206.78,18,34,68343,Retail
1,0,2024-07-11,APAC,1,105.25,50,7,14518,Web
0,0,2024-05-15,AMER,0,307.17,116,38,76516,WhatsApp
1,0,2024-04-23,AMER,1,276.07,38,6,56955,Mobile
3,1,2024-05-19,LATAM,0,239.08,90,36,44364,Retail
2,0,2024-09-24,AMER,1,25.07,63,19,14889,Web
2,1,2024-12-27,APAC,0,241.12,74,47,14896,Mobile
2,0,2024-02-23,AMER,0,702.72,56,9,89584,Mobile
1,0,2024-10-01,AMER,0,108.72,96,41,60977,Mobile
0,0,2024-02-05,EMEA,1,292.31,89,34,69810,Web
1,0,2024-01-01,LATAM,1,102.34,23,23,40476,Web
2,0,2024-06-02,AMER,0,301.88,33,20,70061,Web
2,0,2024-09-11,LATAM,1,215.87,69,37,51161,Web
0,0,2024-02-24,AMER,1,172.89,52,9,51135,Web
0,0,2024-11-09,EMEA,1,25.54,50,15,70131,Web
1,0,2024-09-24,EMEA,1,84.17,31,20,29250,Web
1,0,2024-01-11,AMER,1,71.29,19,4,49928,Mobile
0,0,2024-01-27,APAC,0,161.6,1,44,38440,Web
1,0,2024-03-27,AMER,1,844.28,46,34,21453,Web
2,0,2024-08-11,EMEA,0,286.47,54,34,88690,WhatsApp
4,0,2024-12-26,APAC,0,166.72,119,36,94274,Mobile
2,0,2024-01-14,AMER,1,253.89,57,6,19430,Mobile
2,0,2024-04-30,AMER,1,326.84,117,6,56240,WhatsApp
3,0,2024-05-30,APAC,0,157.06,5,3,81326,Mobile
3,0,2024-03-07,AMER,0,257.68,73,16,69799,Web
0,0,2024-10-08,APAC,0,145.2,92,27,58935,Mobile
1,0,2024-08-17,APAC,1,235.06,1,32,12673,Mobile
3,0,2024-04-27,AMER,0,219.3,32,17,76620,Web
2,0,2024-12-21,APAC,1,249.43,73,26,55149,Web
5,0,2024-12-09,AMER,0,527.54,42,30,32955,Web
3,0,2024-12-23,LATAM,0,94.1,23,5,59337,Web
1,1,2024-01-19,APAC,1,109.28,118,31,44574,Web
1,0,2024-11-03,EMEA,0,141.01,83,9,15203,Web
1,0,2024-12-13,AMER,1,940.06,85,8,92017,Mobile
1,0,2024-08-15,EMEA,0,180.13,110,31,19992,Mobile
4,0,2024-06-16,AMER,0,252.05,60,34,16763,Retail
0,0,2024-02-24,APAC,0,227.31,78,3,84184,Mobile
1,0,2024-04-27,EMEA,1,140.65,27,36,22346,Retail
1,0,2024-12-06,APAC,0,36.52,68,18,27553,Web
